Conversation,Summaries,bart_summary
"i  m trying to decide what school to apply for. are you thinking about a public school or a private one? i  m not sure. what  s the difference between them? public schools are usually state funded, whereas private schools usually get their funding elsewhere. which is better? one isn  t necessarily better than the other. it depends a lot on the school administration and the teachers. i hear you have to wear uniforms at private schools. yeah, sometimes.","The conversation revolves around deciding which type of school to apply to, with the main points being the differences between public and private schools in terms of funding and administration.","i  m going to school next year, and i  m really excited."
"excuse me, professor. i am going to miss next week's class. is this something that you could schedule for another time? no, i have to do this ; it's important! have you arranged for someone to take notes for you? i've made arrangements with a friend to help me. you know that i only allow one absence per semester, don't you? yes, i know. write down your name and the date on a piece of paper and give it to me. ok, i can do that. well, have a good day off from class.",Student misses next week's class and asks professor to reschedule; professor explains that only one absence per semester is allowed and makes arrangements for note-taking.,A student has called her professor to tell him that she needs to take a leave of absence from class because she is pregnant.
"it seems so strange to be here, burying you, but it's not you. ashes to ashes and dust to dust... this has been the worst and best day of my life, taylor. they kept you in the hospital, and... i'll tell you all about it another day. but you're ok? it was nothing serious, was it? you ladies look very elegant in black. but i don't want you to wear black in my honor for a long time yet to come...","Person A reflects on their emotional state while burying someone (Taylor), expressing mixed feelings about the situation. They ask Taylor if they're okay and confirm that the issue wasn't serious.","It's been a long time since i saw you, Taylor."
"the air quality in this city is horrendous. the pollution levels are so high that we are not supposed to go outside with a face mask again! exhaust fumes from vehicles cause a great deal of damage to the environment. on top of that, there are a few large chemical factories in the suburbs, which are contributing to the high pollution levels in the water and the air in this city. as much as i love this city, i think i'm going to find a greener city to live in. living in a polluted city like this just can't be good for my health. i know what you mean. however, there are so few places left that have not been affected by global warming. if it's not the pollution, then it's the natural disasters, deforestation, or the greenhouse effect. what is the greenhouse effect exactly? it's the gradual rise in the earth's temperature. i see, so it's similar to global warming? they're related to one another, yes. i heard that some people in england are pleased with the fact that the climate is becoming warmer because it's making their towns a more pleasant place to live. people joke about the benefits of the increase in temperature, but it's not all good news. they've been experiencing a lot of deadly storms there as well. people always seem to make jokes as a way to deal with unfortunate situations. i think if everyone pitches in, the world will be a better place.","The air quality in this city is extremely poor due to high pollution levels from vehicle exhaust and chemical factories. As a result, the speaker plans to move to a greener city for health reasons. However, they acknowledge that global warming and related issues like natural disasters and deforestation are widespread problems, making it challenging to find a suitable new location.","In the last few weeks, i have been living in the city of bristol, which is one of the most polluted cities in the world."
"what would you like to do tonight? i'm not sure. what about going to a movie? ok, let's go to the cinema to see what's on.","Person A proposes doing something tonight, suggesting going to a movie.",It's Friday the 13th and we're all looking forward to the weekend.
"mary, be calm. it is impossible. you cheated on me. no, listen to me. i always regard you as my best friend. i admire you, and of course you've helped me so much. i should thank you. shut up! no, listen to me. perhaps it's my fault that i treat everybody so well. maybe in other people's eyes, i want you to be my girl-friend. but... but... but you have had lily already? you should have told me about her, but you didn't. ok... ok... anyway. i will treat you as my best friend. i hope you can do the same. leave me! go away!","Mary and an unnamed person have a disagreement after they discovered that the person had been with someone else (Lily) while still maintaining their friendship with Mary. The conversation highlights the complexity of their feelings, with Mary expressing admiration for the person but also feeling betrayed and hurt by their actions.","mary, i want you to be my girl-friend."
"would you mind doing something for me? i would if i could. would you please explain the meaning of the word? yes, with pleasure.",Request to have a word explained.,Would you please explain to me the meaning of the word 'pleasure'?
"our maths teacher is rather humorous. on the contrary, i think he's very serious. no, not at all.his examples are really interesting. so they're easy to remember. yeah, how about your maths teacher? he's an old antique, very serious. bad luck, anne. hey! how about your history teacher? she's another antique. i'm sorry to hear that.","The conversation discusses two teachers, a math and a history teacher. One person finds their math teacher humorous but others disagree. They share thoughts on the teachers' seriousness and whether they are ""antiques"".",How do you like your school teachers and what do you think they're like?
"hey, if you're not busy this weekend, would you like to go see a movie? sounds good. what should we see? how about that european movie? you mean the one starring john travolta? yeah, that's the one i've heard the special effects and the plot are outstanding. sounds like an interesting film. let's meet at five o'clock on saturday. okay, see you then.","Two people plan to go see a movie this weekend, choosing a European film starring John Travolta due to its excellent special effects and plot. They agree to meet on Saturday at 5 pm.","Hey guys, it's been a while since I last talked to you all."
could you do me a favor? what is it? could you possibly give me a lift home? all right. are you sure? i don't want to inconvenience you. no problem. i'd be happy to. thanks. i really appreciate it. thanks so much.,"Person A asks for a favor, which is being given a ride home.",A woman in her 50s has asked a stranger to give her a lift home after a night out with her friends.
"i have an appointment for half past one. what can i help you with? well, i have a problem with my class schedule. what is it? it seems that i've been given two classes scheduled at the same time. i can understand the problem with that. is there any way that you can fix my schedule? no problem, do you want those classes still? yes, i do. let me see if i can find one of these classes on another day. thank you very much.","Person A has a scheduling conflict with two classes at the same time. They seek assistance from someone to resolve the issue and request help in rearranging their schedule. The helper agrees to try and fix the problem, prioritizing keeping the desired classes.",A woman in her early 20s has called the post office to ask for help with her class schedule.
it's said that the government will clamp down on the new policy. are you sure of that? i am not certain about that. they may have some difficulty in doing it.,"Government plans to enforce a new policy, but uncertainty exists about its feasibility.",The BBC's political correspondent Mark Lowen has been talking to the BBC News website about the impact of the government's plans to introduce a cap on the number of people who can claim asylum in the UK.
"did you hear that mary  s marriage is on the rocks? so i hear. yesterday i met mary, and she told me her husband often made pass at his secretary. after all the crises they have survived together, her husband should do such things. she must feel that she  s been stabbed in the back.","Mary's marriage is reportedly struggling due to her husband's infidelity with their secretary, causing her emotional distress.","In our series of letters from African journalists, film-maker and columnist Farai Sevenzo looks at the latest in a long line of stories about women in South Africa."
"are there any interesting articles in today  s newspapers? the headlines are all about the presidential election in the united states. few other stories made the front pages. is there anything of interest to us in the business sections? there  s an interesting feature article in the chronicle about doing business in china and the daily news has printed a report about the special economic zone near pairs. we have a subsidiary company l are the reports favorable? generally, the reporters take positive lines. they do point out a few problems that we need to be aware of, but there  s nothing worrying in the reports. in the classifieds, one of our competitors is a that  s interesting. they must be thinking of moving into that market. are there any interesting editorials? not really. they all seem to focus on the election. there have been several letters printed in the chronicle regarding that controversial article on drugs that they printed last week. i  m not surprised. that article certainly added fuel to the debate. ok. thanks. can you leave two articles and the advertisements with me? i  d like to read them. sure. there you are.","The conversation discusses the content of today's newspapers, specifically the business sections. The speaker asks about interesting articles, mentioning a feature piece on doing business in China and another report on a special economic zone near Paris. They note that the reports generally take a positive tone, but point out some potential issues to be aware of. The conversation also touches on editorials and letters to the editor regarding a controversial article on drugs.",The manager of the local newspaper has come to the office to drop off some advertisements for the week ahead.
"can you imagine a boat letting in the river? that would be terrible. sure thing. i have an experience like that. oh, how were you saved finally? i was in such a panic at that time. fortunately another boat came along and i was saved from drowning.",A person had a terrifying experience of being stranded on a river and feared for their life before being rescued by another boat.,Can you tell us about the time you nearly drowned in the River Severn in the US?
"i am looking for some information about home stay. well, i have been in a host home before. during my first year in the us, i stayed with a family. they are nice. how did you pay them? well, that depends. if you stay for a long time. they will offer a discount.","The speaker has experience with homestay and shares their own story of staying with a host family during their first year in the US. They mention that the hosts are nice. The payment structure depends on the length of stay, with discounts offered for longer periods.",How much do you pay for a home stay in the UK?
"he followed me all the way home! that's about five blocks. and around corners too.so he was definitely following you. yes, he was. i'm not imagining it.finally, just when i got home, i turned around and looked at him.he was just standing there. he didn't smile. he just stood there. it was so obvious.what should i do? i'm so scared. can i call the police? actually, i don't think you can call the police. not yet at least.he hasn't done anything. and probably the police will just ignore it.but if anything happens again, then maybe you should call. why can't i call the police now? he was definitely following me! of course you can call the police if you want. that's not what i mean. i'm just saying that they probably won't do anything. i suppose. what can they do? i don't even know who he is. listen, carol. don't let this bother you too much.probably it's nothing. just keep your eyes open when you go out.if you see him a third time, and if he follows you again, then i think we should go to the police.but for now, just try not to worry. alright. and i won't go to that cafe for awhile.","Someone has been following the speaker all the way home from an unknown location. The speaker feels scared and unsure what to do. A friend advises the speaker to be cautious, but not to worry too much, suggesting reporting the incident to the police only if it happens again.","There was a man following me all the way home from that cafe, didn't he?"
"what's your favorite book? it's gone with the wind. why do you like it best? i enjoy the various characters and the plot. well. i like the thorn birds best. is it very interesting? sure. i like the writer's language, too. if i have a chance, i'll enjoy the book. would you like to go to the bookshop with me? that's a good idea. let's go!","Person A and Person B discuss their favorite books. Person A likes ""Gone with the Wind"" for its characters and plot. Person B prefers ""The Thorn Birds"" due to the writer's language. They agree it's an interesting book and plan to visit a bookshop together.","What's your favourite book? it's gone with the wind, it's come back with a vengeance, and it's the best!"
"may i help you? i would like to check out these books. may i see your library card, please? yes. here you go. apparently, you have unpaid late fees. i do? you owe some money. exactly how much do i owe? you owe $ 24.50. i won  t be able to pay that right now. until you pay it, you can  t check out books. i will pay it. don  t worry.","The patron wants to borrow books and asks to see their library card. They're surprised to learn they have unpaid late fees of $24.50, which prevents them from checking out more books until the fee is paid.",A woman has been stopped by the police at a library in New York City.
"how did you choose courses when you were abroad? that's a very good question. choosing proper courses and effectively planning a college schedule is very important to the progress toward your educational goal. in order to do these wisely and effectively, you should consult with a program adviser or academic counselor. wait a minute. there are some new terms for me. i can hardly follow you. ok, i will go into more detail. a program adviser or an academic counselor is usually an experienced professor who is responsible for all the necessary academic counseling through graduation. you can discuss with him the program selection, changing or adding a program, the requirements for graduation, and other problems related to your study. you will choose some courses, and then discuss with the adviser whether your choice can meet the requirements for graduation. everything is so new to me. i think i'll have to experience a very difficult period when i get there. sure, very difficult. i am very grateful for your advice. it's my pleasure to talk with you.","Choosing courses while studying abroad requires careful planning and consultation with a program adviser or academic counselor. This experienced professor helps with program selection, changes, requirements, and other study-related issues.",How did you choose courses when you were abroad and what should you do when you return to the US?
"so it is hard to be a black student on campus? yes, in many ways it is. there are many stereotypes i have to deal with in my daily life. stereotypes? like what? well, like since i'm black, i must like rap music, come from the inner city, or play basketball well. i do know you like rap music, but the other two are definitely false. i  ve seen you play basketball. hey! but that's not the only problem. there's also the affirmative action stigma. you mean that people look down upon you because they think you're in school because of a quota? that's not true at all, you're really a smart guy. i know that, but some people don't think like that. and i get problems from teachers as well. teachers? i didn't think that they would be racist at all. racist? not exactly. it's how they look at me and ask for my opinion on a topic, as if i can speak for all black people and give them the black opinion on a subject. suddenly i become the representative of the black race, as if we all had the same opinion. i see. it looks like there are still a lot of issues we need to work on in the us.","Being a black student on campus can be challenging due to stereotypes and biases. The speaker faces false assumptions about their background, such as coming from the inner city or being good at basketball. Additionally, they experience affirmative action stigma, where some people assume they're in school because of a quota rather than their academic abilities. The speaker also receives unfair treatment from teachers who ask for their opinion on certain topics as if it represents the views of all black people, perpetuating stereotypes and biases.","In our series of letters from African-American students, writer and activist Tariq Ali reflects on life as a black student at the University of Texas at Austin."
"could you help me? what do you need? i can't seem to find my class. what building is it in? it's in the c building. oh, i know exactly where that is. do you think you can tell me where it is? sure, what room number is it? it's room number 261. i have a class around there right now. could you show me where it is? no problem, come on.","Person A asks for help finding their classroom and gets assistance from someone who knows the location, providing directions to Room 261 in the C building.",A group of students have been trying to find their way to class at the University of Manchester.
"john, have you ever watched beijing opera? yes, i watched once. what do you think of it? well, honestly speaking, i went to watch it out of curiosity. i'd say it's really a special art form. i couldn't agree more. actually, i'm a beijing opera fan. really? good for you.","John and another person discuss Beijing Opera, with the latter expressing genuine interest and admiration for the art form.","John Boyega has been talking to Newsround about beijing opera, a form of Chinese opera that has been popular in China for centuries."
"hi julie, how are things going? everything is great, tad. how are you? i'm doing really well. tad, i'm pretty hungry right now. want to walk over and check out the food table? julie, do you know who that woman is over there by the window? that is mary. i heard that she's just moved in with lee. i thought that he was with malia. oh, that relationship is history. malia hooked up with a guy she met on holiday. i bet that lee wasn't too happy with that! actually, he was ok with it. they hadn't been getting along too well.","Julie and Tad catch up, discussing their well-being and hunger. They take a break to observe Mary, who has recently moved in with Lee, learning that Malia had previously hooked up with someone she met on holiday.","Julie and tad have been talking on the phone, and here's what they have been saying."
you can take this car into consideration. it works well and its price is reasonable. i was not born yesterday.,"Person recommends a car, stating that it's reliable and reasonably priced.","It is a good car, but it is not the best car."
"so, emily, how was your day? i don't think you really want to hear about it. it can't have been that bad. go on and tell me about it. to be honest, it was horrible! my manager is such a pain in the neck! why? what happened? well, he made quite a few mistakes on the monthly report and when his supervisor found them, my manager blamed them on me! that's not very fair. what did you do? there wasn't really anything that i could do. there's always been a lot of bad blood between my manager and myself. if i had said anything, he would have fired for me for sure. does he treat everyone in your department like this? he treats everyone pretty poorly, but the way he treats me really takes the cake! do you have any idea why he treats you worse than the others? i really have no idea. all i know is that the thought of him really curls my hair! is there anyone else you can talk to about it at you company? not really. i'm hoping to live with it for a while until i get a promotion. that's very sensible. it sounds like you have a good head on you shoulders. i try to be sensible about it, but it's not very easy. sometimes you just have to grin and bear it. that's so true. when you have a taste for success, you can't let dishonest people like your manager get in the way.",Emily had a horrible day due to her unfair treatment by her manager who blamed mistakes on her.,"It's that time of the year again, so it's time for one of our favourite stories from the week - emily's day!"
"can you speak english? yes i can. i speak it very well. where did you learn it? i lived in england when i was a child. what else can you speak? well, i know a little italian.",Person A and another person have a conversation about their language skills. The person speaks English fluently and learned it while living in England as a child. They also know some Italian.,Can you tell us what your name is and where you have lived?
"hi, maggy, did you hear about david? about david, no, i didn  t hear anything. you know, about david and new boss. sorry, i don  t quite follow you. well, i hear david have been fired. oh, that is a shame. he is really hard working.","David has been fired by his new boss, which is considered unfortunate as he is known to be hardworking.","A few days ago, i was talking to my friend maggy on the phone, and she was telling me about something that happened at work."
"how would you describe your relationship with our boss? we have a fairly good working relationship, but there was also a rough spot. what do you think his strengths are? well, he has an amazing ability to analyze information and he is very good at making the right decision in tough situations.","The speaker describes their working relationship with the boss as having both positive and negative aspects, but generally fair. They highlight the boss's strengths as being able to analyze information effectively and make good decisions in challenging situations.",How would you describe your working relationship with your boss and what do you think his strengths are?
"which school is your children in? she is now in a private school. oh, it costs too much. it's more expensive than the public school. it's idea of my husband. he is always banging the drum for better schools. but the private school amount to better schools.","The speaker's child has switched to a private school due to her husband's preference for a better education, despite the higher cost being more expensive than the public school.",My daughter goes to a public school in the city where I live.
"i am very interested in a new apartment near the taxing plaza, but the price is very high, i really can't afford it. how much is it for each square meter? how large is the apartment? it's 7500 yuan per square meter, and i really like the one with three bedrooms and a large living room. its total area is about 80 square meters. that surely will cost you a lot of money. are you going to make a full payment? do you think i am rich enough to make it? i am thinking about buying the apartment by installments. the real estate agency says if i pay a 25 % down payment, i can move in at once. if sounds so tempting. why not go applying for a loan from the bank? they charge very low interest, so you can choose whether to pay up the balance in 10 or 20 years.","The speaker is interested in an apartment near the taxing plaza but finds it too expensive. The price per square meter is 7500 yuan, and the desired apartment with three bedrooms and a large living room has an area of about 80 square meters.","Do you think you can afford to buy a new apartment in Beijing, China?"
i really like the record you lent me the other day. i'm glad you like it. and thank you very much for letting me keep it so long. not at all. i'm most grateful. everyone in our class enjoyed it. i'm glad. would you mind my keeping it for another week?,"Person A appreciates a record lent by someone, thanks them for keeping it for a while, and requests to keep it for an additional week.","In case you missed it, here is the full text of a letter sent by a seven-year-old boy to his teacher."
"we'd like to have a look around your house? yes, of course, please follow me. thank you. this is our courtyard. it's so spacious, about 40 square metres, right? yes, about 46 square metres. are these corn ears hanging on the tree branch? yes. very beautiful and very interesting. but why do you hang them in the tree? they don't have enough time to peel it after they harvested them, so they hung them in the tree. then in winter, they can peel corn ears in their leisure time. very good idea. sometimes such pictures can show the house's richness.","A visitor asks to look around a house and is invited by the owner. The visitor is impressed by the spacious courtyard (46 square meters) and notices the hung corn ears, which are explained as a way to preserve them for later peeling during winter.","This is a photograph of a house in the south-eastern Chinese city of Guangdong, taken by a local photographer."
"so, where are you going to spend your winter vacation? oh, i  m going to meet my girlfriend in thailand. you have a girlfriend in thailand? interesting. how come i have never heard of that? actually it will be my first time to meet her. you mean you haven  t seen her before? then, how could she be your girlfriend? maybe you don  t even know her. that  s true. but we have known each other over the internet for a few months now. actually we are on an intimate level. we even plan to be engaged next month. congratulations! it  s good to follow your heart. but i just didn  t expect to be so fast. the internet is making interaction much faster. people are getting to know each other much more quickly this way. probably you  re right.","Person A plans to meet their girlfriend in Thailand for the first time, having known her online for a few months and planning to get engaged soon.","A few days ago, I was talking to a man on the internet and he asked me where I was going on winter vacation."
"hi! susan! i haven't seen you for ages! i've been really busy. how is everything? oh, fine. hey, why don't we grab a bite to eat and do some catching up? yeah, why not? i've got a little free time on my hands. where do you want to eat?","Susan and an unnamed person reconnect after a long time, both busy with their own things. They suggest grabbing food and doing some catching up.","It's been a while since we've seen each other, so we thought we'd catch up on some catching up."
"oh, george, what a beautiful day it is today! the sun is hot and there are just a few clouds scattered here and there! what a perfect day to be at the beach! the kids are going to have so much fun! and we  ll be able to relax in the sun while they  re playing. it does seem like the perfect day! i  m glad we chose to get out of the city and enjoy the nice weather! this looks like the perfect spot! ok kids, put on your sunscreen while your mom and i set up camp. here, mary, help me lay down these beach towels. there we go. can you help me with the umbrella? perfect. ok kids, here  sa beach ball and a frisbee, a pail and a shovel. i want to see an impressive sandcastle by the time we leave. don  t stray too far. wait! leave your sandals here or put on your wet shoes. and stay in the shallow area. i don  t want to see you go any farther than that sandbar! it  s too deep out there and we didn  t bring your floatier. you  re back already? the water was too cold, huh? i  ll tell you a secret. do you see that small pool of water over there? it  ll be warmer in there. go see if you can find some seashells or catch some minnows. what is that? a jellyfish? jeremy, put that down right now! it could sting you! ah! not on me! ow!","The speaker and their family have a lovely day at the beach, enjoying the sunshine and relaxation. They set up camp, play games, and explore the shallow water. However, the kids soon find that the ocean water is too cold, so they head to a nearby pool of warmer water to search for seashells or minnows.","A mother and her two children are on their way to the beach in New York City, where they plan to have fun."
"hello hi angela, it's dan. hi b. how are you? good. i called you yesterday. did you get my message? yes, i was taking a shower when you called. i saw that you called and i tried to call you back, but i think your phone was off. no problem. i wanted to remind you that my friend is getting married next week. you're still coming to the wedding with me, right? oh, is that next week? yes. did you forget? no, of course not. i already bought them a present. that's good. i want to invite megan also. next time you see her, can you tell her for me. sure. does she know your friend? yes, i think they might have gone to the same college or something like that. i'm not exactly sure how they know each other. are we all going to drive together? yes. i'll pick you up first, and then we'll go get megan.","Dan reminds Angela about his friend's upcoming wedding, confirms their attendance, and discusses plans to attend with Megan.","A message has been sent to angela from a man named dan, in which he asks her to come to his friend's wedding next week."
"hey, look at the offer i got in my e-mail. it says that i can get rich quickly while working at home! do you also believe in santa claus and the tooth fairy? what do you mean? i mean that you're gullible. you shouldn't believe everything you read, especially on the internet. but it seems like a good idea. all i have to do is first send some money to the person who sent me the letter. after that he'll tell me how to earn much more money. sounds like a pyramid scheme. have you heard of those before? pyramid scheme? what is that? it's a scam 7 that's based on a hierarchy, like a pyramid. the person at the top asks the people below him for money, and then tells them to go and ask other people for money while sending some of it back to him. sounds good to me. the guy at the top gets money and so do the people below him. not exactly. the scam keeps on going, with the people at the bottom paying more and more money until they reach the very bottom. what happens then? nothing. the people at the bottom give their money to the people above them, and they get nothing. they end up losing. that's why it's a scam. i see. i guess i should be more careful about what i read, especially on the internet where you have no idea who anybody is.","The conversation is about an email offer claiming to make money quickly working from home and whether it's legitimate. The person is initially tempted but realizes it might be a pyramid scheme after their friend explains how it works, warning them not to believe everything they read on the internet and to be cautious with online offers.",Do you believe in Santa Claus and the tooth fairy?
"we've been cramming for tomorrow's history exam since early this morning. what do you say we take a break and listen to some music, okay? now that you mention it, i'm getting a little bumed-out from studying nonstop, too. listening to some music for a while would suit me just fine. while you're picking out a record to play, i'll grab a couple of beers out of the refrigerator. you sure have a lot of discs here. yeah, i've got everything from rock n ' roll to the latest new - wave stuff. to tell you the truth, i'm strictly into classical music. you don't happen to have any bach or mozart, do you? sorry, my taste in music doesn't go back any further than the 1960 ' s. music written before then is just history to me. well, speaking of history, let's get back to the books.we ' ve got an exam tomorrow, remember?",The conversation takes a break from studying for a history exam to listen to music and relax.,"It's been a long day at the office, so let's take a break."
"when can we expect you and your daughter for dinner? next saturday? next saturday? i  m sorry. i  ve promised to go to a chinese opera with my daughter. how about sunday then? yes, sunday sounds fine. what time? does 6,30 suit you? it suits us fine. we  ll see you then. thanks, goodbye.",The speaker and their family will have dinner next Sunday at 6:30 PM.,"When we first met each other, we both thought it would be a good idea to invite each other to dinner."
"i was thinking of holding the company retreat in the mountains. i agree, i think that that would be perfect! i was thinking it could take place sometime in january. that might be a little too cold for some people. yes, you are right. what about april? april has good weather that isn't too cold or too hot. yes, that would work out better. you know, maybe we could take a survey to see how that works for everyone. good idea! we'll have to get right on it. fine! well, i'll get right on it now!","The company retreat will be held in the mountains in April, when the weather is suitable. A survey may be taken to gauge employees' preferences and opinions.","i was thinking of holding a company retreat in the mountains, but i don't know what time of year that would be best."
"how may i help you? i need to check these books out. do you have your library card? here it is. it appears that you have late fees. really? yes, really. how much do i owe? you owe $ 24.50 in late fees. i don  t have that much today. i  m sorry, but until you pay it, you won  t be able to check out any more books. i  ll pay it as soon as possible.","The patron needs to check out books but is unable to do so due to late fees of $24.50, which they intend to pay as soon as possible.","A woman called the National Library of America (NLA) in Washington, DC, to find out if she could borrow some books."
"merry christmas! huh? i said merry christmas! don  t you know that christmas is almost here? it is? oh, that  s nice. huh? didn  t you know? aren  t you excited? actually, i  d forgotten about it. forgotten about it? how could you? because i  m not christian, i  m jewish. oh, i  m sorry. i didn  t know. it  s all right. there are so many christians in america that everybody takes it for granted that i  m christian. i guess so. so what do you do around this time of year? well, i  ll celebrate hanukah soon, but that  s not as important to us as christmas is to you. mainly i  ll just enjoy the holiday break. well, would you be horribly offended if i invited you to a christmas party at my house? not at all. a party is a party. i  ll be happy to come.","A person accidentally wishes someone ""Merry Christmas"" despite being Jewish and forgetting about Christmas. The mistake is acknowledged, and the person invites their friend to a Christmas party at their house, which they agree to attend without being offended.","In the first of a series of letters from the BBC's Newsround, a Jewish woman from America tells her Jewish friend what it is like to celebrate christmas."
do you want to go shopping with me? that's a good idea.what time is good for you? how about saturday morning? sounds good.,Plans are made for shopping trip on Saturday morning.,Do you want to go shopping with me?
"welcome, young man. no offence, but i haven't seen you here before. of course, this is my first time here. my mom has a membership here. here is the card. okay then. you are the younger customer here ever. it's not so wise that you do not explore the children's market. it's the marketing's fault, i suppose.what do you want to do? well, i want to become just like bruce lee. what should i do? that's a long way to go, i'm afraid. first of all, you gotta grow up. i am still young. and i'm growing every minute. sure. then what about trying the treadmill or the skipping rope. i love running. anything else? please change your clothes first! i'm perfect with my clothes. and i do not have anything else with me. sorry, but no jeans here. oh, that's the only place where jeans are not popular. i'd better just go home.","A young man visits a facility for the first time, seeking advice on how to become like Bruce Lee. The attendant suggests he focus on growing up and trying exercise options like treadmills or skipping rope. The young man's plans are foiled when he is asked to change his clothes due to wearing jeans, which are not allowed in the facility.",A young man has been asked to sign up for a membership at a gym in New York.
"i hear that the students ' union is going to take new members. really? can i join it? of course you can if you like it. how can i join it? there will be an information session about the students ' union this tuesday. you can apply for it then. ok, thank you.","The student's union is accepting new members and the person is interested in joining, with guidance on how to do so through an upcoming information session.",The Newsround team has been talking to you about what it's like to be a student at the University of Bristol.
"is that girl your girlfriend? no, it's not. she doesn't look like our classmate. don't mistake her as somebody. she ' s my older sister. really, she's so pretty.","The speaker clarifies that a woman is not their girlfriend and explains that she is actually his older sister, noting that she is attractive.","Is that your girlfriend? no, it's my older sister."
"what do you do in summer? i love going out into the countryside for walks or bike ride. i love being out in the fresh summer air. how about you? i don  t often go for walks, but i either play sports outside-you know, tennis or badminton-or just sit in the sunshine and read a good book. what do you do in winter? well, i play sports indoors quite often. if i  m feeling lazy, i just watch a film at home. i prefer summer to winter. i think most people do. i like wearing nice, colorful clothes in summer, you know, a nice dress or skirt. it  s too cold for those kinds of clothes in winter. yes. i like wearing shorts in summer. my legs would freeze! do you think we  ll have a nice summer this year? thanks to global warming, it could be hotter than ever!","Person A enjoys outdoor activities like walking and biking in the summer, while Person B prefers playing sports or reading in the sunshine. In winter, both enjoy indoor activities. Person A prefers summer due to comfortable clothing options, while Person B mentions global warming's potential impact on this year's summer temperature.","What do you do in the summer and in the winter, and what do you prefer?"
"happy new year! thank you. same to you. have you got any plans? i've been invited over to a friend  s, and you? my roommate  s having a party.",People exchange New Year's greetings and discuss their plans for the day. One person has been invited to a friend's place and another is attending a roommate's party.,"This is the text message I sent to a friend on New Year's Eve, saying:."
"which social problem do you think the government needs to concentrate on most? i think housing is a big problem. there are thousands of homeless people on the streets. how would you solve the problem? i have a good idea to solve it. the government could provide some money for homeless people to build their own homes. it would probably be very expensive. i think the government can afford it. besides, there are many advantages. homeless people would find it easier to get jobs if they had an address. they would learn some useful skill for finding jobs i it  s not a bad idea. i think education is the biggest problem at the moment. schools don  t seem to have enough money to educate kids properly. if we are to invest more money to education, we will need to raise taxes. that wouldn  t be popular with voters. most voters what everything both ways. they want the government to pay for lots of things, but without increasing taxes. the government should show that it is using money efficiently. sometimes you hear about how the government has wasted money on a project. yes. the government has limited funds and must show that it is using the money responsibly","The speakers discuss which social problem the government should prioritize, with one person suggesting housing as a major issue due to thousands of homeless people on the streets. They propose providing funding for homeless individuals to build their own homes, citing benefits such as easier job searching and skill acquisition. Another speaker disagrees, highlighting education as the biggest problem, citing insufficient school funding and the need for increased investment, which would require raising taxes.",Voters in the United States go to the polls on 8 November to choose their next president.
"do you keep any pets, such as cats, dogs? no, i'm scared of cats. oh, but why? i feel they're dirty.","Person A does not have pets because they are afraid of cats, specifically because they perceive them as ""dirty"".","Do you have any pets, such as cats, dogs or horses?"
"would you like to see our new shirts? sorry, but i  m not really that interested in those things. well, they are very nice you know. really? and not expensive either. oh, i don't care about that. everybody is buying them. are they? yes, they are very fashionable, you see. i am afraid i am not interested in fashion. i see. but thank you very much all the same. sorry i couldn't help you.","Person A declines to look at new shirts due to lack of interest, despite being told they're fashionable and affordable.",Would you like to see our new shirts?
"come in, come in! hi, gary, what happened? i was waiting for you at the theater. why didn  t you meet me there? i thought we were supposed to meet here. don  t you know our movie starts at seven? and we were going to meet at the theater at five to seven. then it doesn  t make sense to meet at the apartment. i  m sorry. we must have misunderstood each other. why don  t you try to be clearer about your intentions? you  re right. i am sorry. let  s go and watch the movie. it  s okay. i don  t want to go now. we  ve already missed ten minutes of the movie. i don  t want to see a movie without watching the beginning.","Someone was late meeting at the theater, causing them to miss part of the movie. They apologized and suggested being clearer about intentions in the future.","The door of the apartment is open, and there is a man in the living room, who is not the man you were expecting."
"how was school today, dominic? i hate school! why? what happened? i messed up my mid-term exam so badly today! it's just one exam. can you re-take the exam? yes, but it's so humiliating! i don't want my friends to know i failed! why didn't you do a good job? i don't know. i sat down in my seat, looked at my paper, and then my mind just went totally blank. do you think you studied enough for the exam? no... what did you do last night? i watched tv. did you study at all last night for your exam? no, not really. i am sure if you had studied, you would have done well. when can you re-take your exam? tomorrow. alright. get out your books and i'll help you prepare.","Dominic struggled in school today due to a disappointing mid-term exam performance. He's worried about his friends finding out he failed and feels embarrassed. He didn't study much the night before, opting for TV instead. His friend offers support and help with preparation for a re-take on tomorrow.","In case you missed it, here's a round-up of some of the messages we've been getting from you over the past few days."
i haven't met the smiths for a long time. they have moved to chicago. why? mr.smith has changed his job.,"Mr. Smith changed jobs, leading to the family's move to Chicago.",A friend of mine has told me that one of his colleagues has changed his job and has moved to chicago.
"did you hear about joe? she hasn't eaten for days. why? what's eating her? love sick. you know who she's in love with? i don't have the slightest idea. someone you're living with. what? not my dad, i hope!? come on, mary, it's your brother, jack. no kidding! jack is such a log! he's never dated a girl. the problem with joe is that she's too shy to tell him. and the problem with jack is that he seems to have no interest in girls. he's putting his heart into his stamp collection. well, if you want to help your friend, you should do something about it.",Joe hasn't eaten for days because she's lovesick for her brother Jack.,Did you hear about the girl who's in love with someone?
